"","decision","HI","SI","ID"
"486",0.5,39,76,1038
"487",0.5,1,65,2029
"488",0,0,78,2029
"489",0.5,0,2,2029
"490",0,1,97,2029
"491",0.5,4,90,2029
"492",0,2,96,2029
"493",0.5,0,53,2029
"494",0.5,0,44,2029
"495",0.5,0,43,2029
"496",0.5,0,54,2029
"497",0.5,0,54,2029
"498",0.5,0,53,2029
"499",0,7,100,2029
"500",0,5,100,2029
"501",0,0,100,2029
"502",0,0,100,2029
"503",0,0,100,2029
"504",0,0,100,2029
